district,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_female
Almora,1030,385
Bageshwar,317,16
Chamoli,1764,375
Champawat,630,84
Dehradun,1846,738
Haridwar,2062,186
Nainital,2399,537
Pauri Garhwal,2970,913
Pithoragarh,1261,314
Rudraprayag,714,232
Tehri Garhwal,1275,352
Udham Singh Nagar,3597,646
Uttarkashi,878,139
