district,no_of_bank_branches_per_one_lakh_population_i_no,no_of_bc_csp_outlets_per_one_lakh_population_ii_no,no_of_atms_per_one_lakh_population_iii_no
Almora,22,28,20
Bageshwar,21,22,13
Chamoli,23,22,19
Champawat,22,26,19
Dehradun,32,20,48
Haridwar,15,18,45
Nainital,28,22,30
Pauri Garhwal,28,18,20
Pithoragarh,22,22,13
Rudraprayag,23,21,8
Tehri Garhwal,21,17,20
Udham Singh Nagar,20,21,34
Uttarkashi,20,28,20
