district,no_of_financial_literacy_centres_flcs_i_no,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_no_of_flc_ii_no,no_of_financial_literacy_camps_conducted_by_flcs_and_no_of_beneficiaries_no_of_beneffici_aries_ii_no,implementation_of_centre_for_financial_literacy_cfl_at_block_level_no_of_beneffic_iaries_iii_no
Almora,1,62,1969,0
Bageshwar,1,54,1836,0
Chamoli,1,62,2370,0
Champawat,1,59,1552,0
Dehradun,2,227,6980,0
Haridwar,1,73,2454,0
Nainital,2,80,2453,0
Pauri Garhwal,1,44,1004,0
Pithoragarh,1,37,889,0
Rudraprayag,1,66,2339,0
Tehri Garhwal,2,67,2020,0
Udham Singh Nagar,2,66,3071,0
Uttarkashi,1,49,874,0
