district,no_of_beneficiaries_i_male,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_male,out_of_i_no_of_bank_credit_linked_ii_female
Almora,152,392,48,121
Bageshwar,169,394,44,52
Chamoli,77,365,36,319
Champawat,141,388,47,138
Dehradun,104,502,23,227
Haridwar,235,366,32,131
Nainital,172,367,60,229
Pauri Garhwal,35,402,1,200
Pithoragarh,165,372,48,230
Rudraprayag,123,392,43,153
Tehri Garhwal,189,275,49,147
Udham Singh Nagar,111,434,22,282
Uttarkashi,129,382,36,28
