district,there_are_about_42_867_self_help_groups_shgs_are_present_in_the_state_of_uttarakhand_as_on_june_2021_in_the_state_th,no_of_beneficiaries_i_male,no_of_beneficiaries_i_female,out_of_i_no_of_bank_credit_linked_ii_male,out_of_i_no_of_bank_credit_linked_ii_female,total_no_of_shg,out_of_i_no_of_shgs_credit_linked,average_ticket_size_of_shg_loan_o_s_total_credit_o_s_to_shg_no_of_credit_linked_shgs,total_no_of_jlg,loan_o_s_to_jlgs,average_ticket_size_of_jlg_loan_o_s_total_credit_o_s_to_jlg_no_of_jlgs
Almora,25,258,423,0,0,1255,715,95000,1039,4.52,43500
Bageshwar,30,442,816,0,0,2296,1350,100000,102,0.39,38265
Chamoli,73,26,142,4,7,2845,1890,100000,112,1.47,43565
Champawat,30,520,790,0,0,1750,1060,80000,202,0.9,44554
Dehradun,43,5483,7767,0,0,1113,648,110000,19669,59.19,30093
Haridwar,81,72,60,0,0,2078,1248,115000,38311,88.83,23186
Nainital,46,0,0,0,0,973,595,100000,5723,20.44,35715
Pauri Garhwal,25,60,66,4,6,2155,1382,75000,1684,6.49,38550
Pithoragarh,44,222,378,0,0,3041,1760,77000,702,2.48,35328
Rudraprayag,26,22,128,4,7,745,490,79000,87,0.49,41030
Tehri Garhwal,38,70,60,12,15,3433,2120,70000,497,2.05,41325
Udham Singh Nagar,121,3712,3212,226,174,2012,1288,90000,13307,82.95,62335
Uttarkashi,42,35,165,3,6,2425,1652,100000,296,1.17,39550
