district,no_of_bsbda_per_one_lakh_population_i_no,no_of_pmjdy_a_c_per_on_e_lakh_popu_lation_ii_no,i_no_of_credit_accounts_per_one_lakh_population,no_of_active_pmjdy_a_c,out_of_i_availing_od_facility_ii
Almora,10585,18048,9285,89881,7353
Bageshwar,9975,15645,7513,32530,145
Chamoli,10885,17650,9076,55294,739
Champawat,11430,18689,13410,38820,110
Dehradun,18690,26037,21355,375505,17520
Haridwar,33980,30973,24550,497592,21645
Nainital,19050,23946,16611,194301,4250
Pauri Garhwal,10620,17351,9560,93982,1015
Pithoragarh,8570,12791,14206,49470,466
Rudraprayag,9940,15264,12344,29586,578
Tehri Garhwal,11450,19026,10309,94142,504
Udham Singh Nagar,19490,2012,23066,525348,22120
Uttarkashi,15155,24732,13221,65309,965
