District,Col_1,Col_2,Col_3
Arwal,73,35,
Aurangabad,225,250,
Banka,85,78,
Begusarai,125,194,
Bhagalpur,174,139,
Bhojpur,4912,2890,
Buxar,3279,2080,
Darbhanga,35,44,45
Gopalganj,1387,62,133
Kaimur (Bhabua),893,73,1571
Khagaria,58,151,
Kishanganj,337,27,78
Madhubani,25,25,52
Muzaffarpur,40,42,
Nalanda,72,176,
Nawada,103,30,58
Rohtas,230,396,
Saharsa,58,124,
Samastipur,795,67,
Saran,325,243,315
Sheohar,35,,
Sitamarhi,20,16,50
Siwan,477,14,25
Vaishali,46,34,
