District,Branch,Deposits,Advances,CD Ratio
Araria,165,423259,,81.62
Arwal,,85897,,45.25
Aurangabad,,538918,,66.59
Banka,,154121,,49.16
Begusarai,,726001,,71.44
Bhagalpur,,717195,,45.23
Bhojpur,,507870,,41.67
Buxar,,296475,,43.94
Darbhanga,,643716,,46.24
Gaya,,943913,,49.23
Gopalganj,,425235,,47.55
Jamui,,237173,,48.48
Jehanabad,,171935,,42.63
Kaimur (Bhabua),,253704,,58.35
Katihar,,530769,,72.30
Khagaria,,250366,,62.43
Kishanganj,,266367,,75.01
Lakhisarai,,149551,,43.04
Madhepura,,285775,,71.25
Madhubani,,512274,,51.12
Munger,,252526,,
Muzaffarpur,,1504827,,
Nalanda,,477029,,40.30
Nawada,,283171,,47.73
Pashchim Champaran,,545831,,
Patna,,7437670,,48.34
Purbi Champaran,,833460,,75.31
Purnia,,743897,,90.13
Rohtas,,545858,,49.54
Saharsa,,290791,,60.01
Samastipur,,704452,,59.32
Saran,,592196,,41.24
Sheikhpura,,102193,,46.71
Sheohar,,86965,,82.36
Sitamarhi,,412559,,60.31
Siwan,,658487,,48.81
Supaul,,286809,,63.11
