District,Col_1,Col_2,Col_3
Araria,-08,-18,
Arwal,2023,-09,-19
Aurangabad,2023,-09,-20
Banka,2023,-09,-04
Bhagalpur,2023,-09,-04
Bhojpur,2023,-09,-05
Buxar,2023,-09,-15
Darbhanga,2023,-08,-23
Gopalganj,2023,-09,-27
Jehanabad,2023,-08,-05
Kaimur (Bhabua),2023,-08,-14
Katihar,2023,-08,-19
Khagaria,2023,-09,-12
Kishanganj,2023,-09,-22
Madhepura,2023,-09,-29
Madhubani,2023,-08,-24
Munger,2023,-08,-28
Muzaffarpur,2023,-09,-01
Nalanda,2023,-08,-19
Nawada,12023,-09,-1
Pashchim Champaran,2023,-09,-14
Patna,2023,-08,-07
Purbi Champaran,-09,-27,
Purnia,2023,-08,-30
Rohtas,2023,-09,-05
Saharsa,2023,-09,-29
Samastipur,2023,-08,-03
Saran,2023,-08,-12
Sheikhpura,2023,-08,-12
Sitamarhi,2023,-08,-19
Siwan,2023,-08,-31
Vaishali,2023,-09,-26
