District,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9
Araria,11,223,223,,,,,,
Arwal,3,72,3,72,3,72,,,
Aurangabad,6,80,1,28,,,,,
Banka,28,,,,,,,,
Bhojpur,195,,,,,,,,
Buxar,50,105,91,,,,,,
Darbhanga,438,212,302,226,,,,,
Gaya,293,8,630,151,16,772,2,,
Gopalganj,9,84,9,213,2,37,16,260,40
Kaimur (Bhabua),49,11,11,420,0,,,,
Katihar,12,151,14,16,126,10,395,0,
Khagaria,14,253,9,75,299,123,,,
Kishanganj,9,113,20,4,59,25,254,60,
Lakhisarai,1,1,,,,,,,
Madhubani,11,220,1,185,19,,,,
Munger,500,1,406,,,,,,
Muzaffarpur,23,396,39,12,149,50,10,232,
Nalanda,20,294,22,1,20,41,17,250,
Nawada,20,1,16,,,,,,
Purbi Champaran,16,496,27,7675,170,16,401,326,
Rohtas,35,285,49,36,279,48,251,9,52
Sheohar,68,,,,,,,,
