District,Col_1,Col_2
Araria,303179,27360
Arwal,90918,1242
Aurangabad,301363,7016
Banka,207293,2547
Begusarai,512676,16786
Bhagalpur,476981,14083
Bhojpur,402572,12363
Buxar,3198,
Darbhanga,428682,22885
Gaya,569838,28451
Gopalganj,292629,14046
Jehanabad,120426,3044
Kaimur (Bhabua),199881,3301
Katihar,323440,24635
Khagaria,177109,8445
Kishanganj,167237,26476
Lakhisarai,125256,1261
Madhepura,249545,12886
Madhubani,449272,18039
Munger,157439,
Muzaffarpur,778632,
Nawada,235533,
Pashchim Champaran,356738,
Purbi Champaran,552855,21621
Purnia,444181,
