District,Rural,Semi-Urban,Urban,Total,ATM Rural,ATM Semi-Urban,ATM Urban,ATM Total,POS,Card Total
Araria,84,79,165,15,85,15,1726367,1034,,
Arwal,40,21,1,62,19,474998,258,,,
Aurangabad,181,47,33,198,48,51,1993451,,,
Banka,41,122,48,893092,438,,,,,
Begusarai,99,42,234,75,91,1779850,1842,,,
Bhojpur,128,68,102,1830949,1852,,,,,
Buxar,157,33,47,1973841,1192,,,,,
Gopalganj,120,68,1,189,49,92,15,156,2040517,1115
Kaimur (Bhabua),89,33,1,123,13,50,4,67,1193739,629
Khagaria,50,68,3,121,20,52,11,83,789800,668
Kishanganj,63,23,24,101,10,37,31,78,1239513,547
Madhepura,42,,,,,,,,,
Madhubani,127,157,1,285,40,116,27,183,2792231,1656
Munger,60,32,48,140,19,39,62,120,1279662,850
Muzaffarpur,184,93,117,394,71,104,248,423,3221763,8092
Nalanda,140,69,46,255,28,76,82,186,1848132,1536
Nawada,83,60,145,63,6,77,1562465,826,,
Rohtas,137,54,52,243,25,58,84,167,2199427,1819
