District,ATMs on 31.12,Opened During Quarter,Closed During Quarter
Aurangabad,17,,
Bhojpur,25.00,,
Gaya,134,27.52,
Gopalganj,29,17.68,13
Jehanabad,16,30.77,
Katihar,2,1.85,
Khagaria,0.05,,
Kishanganj,27,16.36,10
Lakhisarai,85,22.97,
Madhepura,10,,
Madhubani,26,12.04,
Munger,14,3.13,
Muzaffarpur,41,14.64,
Nalanda,11,12.09,
Nawada,12,8.05,
Patna,12.50,,
Purnia,8.25,12,
Rohtas,6.45,,
Saharsa,9.66,,
Samastipur,41,22.28,14
Saran,11,2.42,17
Sheikhpura,38,28.36,14
Sitamarhi,20,24.39,
Vaishali,14,20.59,
