District,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Anjaw,13356,5916,4505
Changlang,129340,55281,62952
Dibang Valley,7940,4409,4916
East Kameng,72094,42860,36244
East Siang,207703,95374,42968
Kamle,7148,4134,2508
Kra Daadi,11903,6866,3157
Kurung Kumey,30241,21634,19656
Lepa Rada,26977,16055,10756
Lohit,53950,24245,19984
Longding,37123,13390,13285
Lower Dibang Valley,60293,34436,26059
Lower Siang,102764,33739,6208
Lower Subansiri,79359,39521,26856
Namsai,87000,55869,43428
Pakke Kessang,4805,2295,1422
Papum Pare,409606,200986,164167
Shi Yomi,10277,5961,5481
Siang,20645,10553,3657
Tawang,56160,21544,20369
Tirap,56779,29288,26471
Upper Siang,45552,29412,19237
Upper Subansiri,90754,54592,31903
West Kameng,87755,37713,29889
West Siang,91075,46054,25572
