district,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,"Out Of Total CSP, Fixed Point CSP","Out Of Total CSP,Other CSP",Total CSP
Anjaw,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,7.0,2.0,9.0
Changlang,9.0,3.0,0.0,12.0,12.0,2.0,0.0,14.0,65.0,12.0,77.0
Dibang Valley,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
East Kameng,1.0,7.0,0.0,8.0,0.0,10.0,0.0,10.0,23.0,11.0,25.0
East Siang,7.0,11.0,0.0,18.0,5.0,15.0,0.0,20.0,89.0,28.0,117.0
Kamle,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
Kra Daadi,2.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,5.0,2.0,7.0
Kurung Kumey,1.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,3.0,3.0,6.0
Lepa Rada,2.0,2.0,0.0,4.0,1.0,1.0,0.0,2.0,7.0,1.0,8.0
Lohit,3.0,5.0,0.0,8.0,1.0,13.0,0.0,14.0,17.0,1.0,19.0
Longding,3.0,0.0,0.0,3.0,4.0,0.0,0.0,4.0,11.0,1.0,12.0
Lower Dibang Valley,3.0,6.0,0.0,9.0,1.0,11.0,0.0,12.0,62.0,7.0,69.0
Lower Siang,4.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,25.0,17.0,42.0
Lower Subansiri,5.0,10.0,0.0,15.0,5.0,13.0,0.0,18.0,40.0,2.0,41.0
Namsai,7.0,5.0,0.0,12.0,4.0,6.0,0.0,10.0,37.0,11.0,48.0
Pakke Kessang,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0
Papum Pare,18.0,51.0,0.0,69.0,11.0,116.0,0.0,127.0,106.0,612.0,716.0
Shi Yomi,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,4.0,1.0,5.0
Siang,4.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,9.0,0.0,9.0
Tawang,6.0,5.0,0.0,11.0,4.0,12.0,0.0,16.0,25.0,1.0,27.0
Tirap,3.0,2.0,0.0,5.0,4.0,0.0,0.0,4.0,16.0,5.0,21.0
Upper Siang,5.0,2.0,0.0,7.0,3.0,1.0,0.0,4.0,12.0,1.0,13.0
Upper Subansiri,6.0,2.0,0.0,8.0,3.0,6.0,0.0,9.0,13.0,2.0,14.0
West Kameng,16.0,1.0,0.0,17.0,26.0,2.0,0.0,28.0,40.0,2.0,42.0
West Siang,3.0,7.0,0.0,10.0,3.0,12.0,0.0,15.0,35.0,10.0,45.0
