District,Small and Marginal Farmers,Scheduled Caste,Scheduled Tribes,DRI Scheme,Self Help Groups,Women Beneficiaries,Minority Communities,PMJDY,Others,Total Weaker Section
Anjaw,304,1,320,0,3,68,1,0,0,697
Changlang,1109,67,851,0,8,194,265,1,31,2526
Dibang Valley,267,0,275,0,0,67,3,0,0,612
East Kameng,235,1,220,0,3,48,9,0,2,518
East Siang,1163,21,1354,10,30,174,300,85,80,3217
Kamle,335,3,302,0,0,75,22,0,3,740
Kra Daadi,608,4,358,0,17,207,358,0,75,1627
Kurung Kumey,308,2,4,0,13,69,316,0,2,714
Lepa Rada,557,1,498,0,8,105,5,0,2,1176
Lohit,1871,17,1812,0,49,628,15,1,10,4403
Longding,1213,3,11,0,1,190,1199,0,37,2654
Lower Dibang Valley,746,50,578,0,25,275,265,0,2,1941
Lower Siang,545,0,445,0,12,75,76,0,4,1157
Lower Subansiri,1051,17,604,2,85,172,485,57,66,2539
Namsai,1706,62,1959,0,141,373,1088,0,19,5348
Pakke Kessang,200,5,463,0,2,128,18,0,15,831
Papum Pare,4533,135,6491,44,133,1426,2827,276,1413,17278
Shi Yomi,5,0,20,0,0,0,9,0,0,34
Siang,227,0,219,0,35,39,1,0,1,522
Tawang,589,8,892,1,6,71,911,160,18,2656
Tirap,1221,3,910,0,0,292,302,0,12,2740
Upper Siang,365,2,322,0,2,65,2,0,4,762
Upper Subansiri,800,8,570,0,62,95,16,0,64,1615
West Kameng,1155,10,1582,14,35,181,1490,207,45,4719
West Siang,1034,8,1391,10,20,233,93,77,12,2878
