District,Agri,Msme,Other Priorityrityrityrity Sector,Total Priorityrityrityrity Sector
Anjaw,400,68,0,468
Changlang,965,175,33,1173
Dibang Valley,158,28,13,199
East Kameng,150,93,28,271
East Siang,1431,1293,789,3513
Kamle,234,19,1,254
Kra Daadi,590,196,32,818
Kurung Kumey,205,36,2.6,243.6
Lepa Rada,156,49,31,236
Lohit,994,247,100,1341
Longding,522,256,2,780
Lower Dibang Valley,925,308,55,1288
Lower Siang,411,150,21,582
Lower Subansiri,597,277,69,943
Namsai,1052,184,28,1264
Pakke Kessang,180,31,2,213
Papum Pare,3772,16981.84,830,21583.84
Shi Yomi,141,27,9,177
Siang,156,148,490,794
Tawang,266,363,27,656
Tirap,116,40,26,182
Upper Siang,165,32,2,199
Upper Subansiri,537,404,13,954
West Kameng,390,1123,50,1563
West Siang,624,442,122,1188
