District,Target(23-24),Current Year Self-Help Group,NRLM O/S,NRLM Irregular A/C,NRLM NPA,NRLM NPA Pct
Anjaw,79,0,0,0,0,0
Changlang,403,0,0,0,0,0
Dibang Valley,18,0,0,0,0,0
East Kameng,187,0,0,0,0,0
East Siang,161,15,25,5,0,0
Kamle,82,0,0,0,0,0
Kra Daadi,91,7,69,19,0,0
Kurung Kumey,87,0,2,0,0,0
Lepa Rada,77,1,4,0,0,0
Lohit,76,19,44,1,0,0
Longding,290,0,0,0,0,0
Lower Dibang Valley,85,1,17,3,0,0
Lower Siang,47,4,10,0,0,0
Lower Subansiri,161,22,78,3,1,1.32
Namsai,312,36,43,3,0,0
Pakke Kessang,62,6,15,3,0,0
Papum Pare,189,50,172,35,47,19.56
Shi Yomi,72,0,0,0,0,0
Siang,123,1,11,1,0,0
Tawang,110,3,14,1,0,0
Tirap,192,1,1,0,0,0
Upper Siang,104,0,0,0,0,0
Upper Subansiri,130,4,55,3,0,0
West Kameng,305,1,5,2,0,0
West Siang,73,9,24,3,0,0
