District,Number of Rural Branches,No of camps conducted during the Quarter
Anjaw,2,3
Changlang,7,5
Dibang Valley,2,7
East Kameng,2,5
East Siang,6,2
Kamle,1,3
Kra Daadi,1,3
Kurung Kumey,4,3
Lepa Rada,0,0
Lohit,3,3
Longding,3,2
Lower Dibang Valley,3,3
Lower Siang,0,0
Lower Subansiri,6,13
Namsai,3,5
Pakke Kessang,1,3
Papum Pare,13,25
Shi Yomi,1,2
Siang,4,2
Tawang,6,2
Tirap,4,2
Upper Siang,7,9
Upper Subansiri,5,9
West Kameng,14,14
West Siang,11,15
