District,Crop Loan,Forestry and Wasteland Dev.,Water Resource,Farm Mechanization,Plantation & Horticulture,Animal Husbandry,Fishery,Farm Credit Others,Agri. Infrastructure,Ancillary Activities,Total Agri Disbursement
Anjaw,9,0,0,0,0,0,0,0,0,0,9
Changlang,104,0,0,2,124,0,0,8,0,1,239
Dibang Valley,17,0,0,0,45,0,0,1,0,0,63
East Kameng,37,0,0,6,315,0,0,3,0,0,361
East Siang,191,0,0,5,95,14,2,37,1,0,345
Kamle,58,0,0,0,0,0,0,2,0,0,60
Kra Daadi,104,0,0,0,8,0,0,6,0,1,119
Kurung Kumey,85,0,0,0,288,0,0,2,0,0,375
Lepa Rada,49,0,0,0,43,0,0,12,0,0,104
Lohit,318,0,0,0,6,0,0,12,0,1,337
Longding,170,0,0,0,0,0,0,1,0,0,171
Lower Dibang Valley,158,0,0,5,246,0,0,11,0,0,420
Lower Siang,75,0,0,0,61,1,0,17,0,0,154
Lower Subansiri,123,0,0,1,100,1,0,42,0,5,272
Namsai,222,0,0,3,7,0,0,64,0,0,296
Pakke Kessang,36,0,0,0,0,0,0,5,0,2,43
Papum Pare,290,0,0,101,121,21,2,162,1,10,708
Shi Yomi,0,0,0,0,11,0,0,0,0,0,11
Siang,16,0,0,0,18,0,0,1,0,0,35
Tawang,65,0,0,0,20,0,0,5,0,0,90
Tirap,90,0,0,0,119,0,0,17,0,1,227
Upper Siang,16,0,0,0,54,0,0,3,0,0,73
Upper Subansiri,221,0,0,3,97,3,0,5,0,0,329
West Kameng,291,0,0,3,5,1,0,2,0,0,302
West Siang,62,0,0,0,56,35,0,14,1,0,168
