district,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Anjaw,283,891.91,14,31.65
Changlang,1638,5530.37,205,686.13
Dibang Valley,313,1061.85,19,155.61
East Kameng,1251,5004.05,224,704.22
East Siang,4773,17926.45,572,2354.82
Kamle,218,438.71,33,34.16
Kra Daadi,589,1198.59,43,183.77
Kurung Kumey,752,2049.58,57,176.49
Lepa Rada,828,2912.62,82,356.84
Lohit,2153,6135.26,285,777.4
Longding,847,2394,101,252.38
Lower Dibang Valley,1698,5411.35,323,1068.11
Lower Siang,625,2577.21,81,418.63
Lower Subansiri,2640,10649.09,267,1131.82
Namsai,2202,7942.49,334,1032.91
Pakke Kessang,307,698.81,28,86.12
Papum Pare,23694,101305.57,3632,22077.84
Shi Yomi,101,352.09,9,6.5
Siang,304,1131.06,23,79.41
Tawang,990,4145.19,176,681.69
Tirap,1283,4479.73,86,284.78
Upper Siang,598,2110.42,41,235.28
Upper Subansiri,2053,7580.1,174,686.17
West Kameng,2255,9364.03,361,1365.22
West Siang,2032,8645.12,229,1141.05
