District,Export,Education PS,Housing PS,Social Infra,Renewable,Other PS,Ops Total
Anjaw,0,0,0,1,0,0,1
Changlang,0,0,27,5,0,18,50
Dibang Valley,0,0,2,0,0,2,4
East Kameng,0,0,12,16,0,78,106
East Siang,0,7,55,26,0,14,102
Kamle,0,0,0,1,0,0,1
Kra Daadi,0,0,1,0,0,0,1
Kurung Kumey,0,0,15,0,0,13,28
Lepa Rada,0,1,12,15,0,21,49
Lohit,0,1,25,8,0,9,43
Longding,0,0,12,0,0,0,12
Lower Dibang Valley,0,3,12,2,0,29,46
Lower Siang,0,0,11,21,0,0,32
Lower Subansiri,0,4,56,25,0,66,151
Namsai,0,3,26,8,0,13,50
Pakke Kessang,0,0,0,16,0,0,16
Papum Pare,0,93,525,294,0,439,1351
Shi Yomi,0,0,2,1,0,18,21
Siang,0,0,0,0,0,0,0
Tawang,0,1,13,4,0,31,49
Tirap,0,0,24,5,0,21,50
Upper Siang,0,0,5,1,0,87,93
Upper Subansiri,0,1,30,43,0,47,121
West Kameng,0,4,43,11,0,24,82
West Siang,0,2,24,30,0,27,83
