District,Micro,Small,Medium,Other Msme,Msme Total
Anjaw,27,4,0,0,31
Changlang,465,32,0,0,497
Dibang Valley,17,5,0,0,22
East Kameng,285,10,0,0,295
East Siang,1990,69,1,9,2069
Kamle,92,0,0,0,92
Kra Daadi,364,6,0,0,370
Kurung Kumey,153,10,0,4,167
Lepa Rada,98,5,0,0,103
Lohit,336,20,1,1,358
Longding,125,15,0,0,140
Lower Dibang Valley,444,18,0,1,463
Lower Siang,158,8,0,0,166
Lower Subansiri,716,42,1,5,764
Namsai,509,77,0,1,587
Pakke Kessang,70,3,0,0,73
Papum Pare,9992,743,68,556,11359
Shi Yomi,34,0,0,0,34
Siang,58,0,0,0,58
Tawang,485,36,0,0,521
Tirap,134,12,0,0,146
Upper Siang,70,11,0,0,81
Upper Subansiri,444,32,0,0,476
West Kameng,1202,90,2,3,1297
West Siang,600,30,0,4,634
