District,Target (23-24),SANCTIONED,DISBURSED,OUTSTANDING,NPA,PMEGP NPA Amt. %
Anjaw,5,0,0,3,1,5.77
Changlang,6,0,0,12,2,10.1
Dibang Valley,5,0,0,0,0,0
East Kameng,12,1,1,5,2,15.91
East Siang,20,2,1,23,16,53.75
Kamle,5,5,1,15,11,74.25
Kra Daadi,5,0,0,26,16,60.37
Kurung Kumey,5,1,1,42,32,63.35
Lepa Rada,5,6,2,16,2,7.61
Lohit,14,2,4,9,3,39.65
Longding,5,0,0,7,2,18.38
Lower Dibang Valley,12,3,1,6,2,8.91
Lower Siang,6,6,2,11,1,9.16
Lower Subansiri,26,12,9,68,29,25.16
Namsai,14,2,0,49,9,25.14
Pakke Kessang,5,0,0,2,1,40.12
Papum Pare,108,120,114,441,116,13.19
Shi Yomi,5,0,0,11,9,60.68
Siang,6,6,0,15,10,57.86
Tawang,12,3,5,23,3,10.84
Tirap,6,0,1,10,5,34.31
Upper Siang,7,0,0,10,4,29.95
Upper Subansiri,12,4,3,38,22,45.31
West Kameng,15,8,11,78,10,1.5
West Siang,13,8,0,31,14,40.68
