district,Agriculture (NPS),MSME (NPS),Export Credit (NPS),Education (NPS),Housing (NPS),Personal Loans under NPS,Others NPS,Total ACP (NPS)
Anjaw,0,0,0,0,0,7,20,27
Changlang,1,0,0,0,0,79,414,494
Dibang Valley,1,0,0,0,0,4,37,42
East Kameng,1,0,0,0,15,61,188,265
East Siang,8,0,0,1,24,368,959,1360
Kamle,3,0,0,0,1,3,19,26
Kra Daadi,1,0,0,0,0,18,24,43
Kurung Kumey,0,0,0,0,1,11,41,53
Lepa Rada,1,0,0,0,7,45,67,120
Lohit,0,0,0,0,1,128,300,429
Longding,0,0,0,0,3,25,114,142
Lower Dibang Valley,0,0,0,0,2,139,504,645
Lower Siang,0,0,0,0,33,38,97,168
Lower Subansiri,2,0,0,0,14,157,293,466
Namsai,0,0,0,0,3,75,459,537
Pakke Kessang,0,0,0,0,0,12,26,38
Papum Pare,1,30,0,4,138,1396,4947,6516
Shi Yomi,0,0,0,0,0,0,21,21
Siang,2,0,0,0,0,18,25,45
Tawang,1,0,0,0,3,134,404,542
Tirap,3,0,0,0,2,44,148,197
Upper Siang,0,0,0,0,0,19,95,114
Upper Subansiri,3,0,0,0,3,103,204,313
West Kameng,0,0,0,0,15,109,667,791
West Siang,1,0,0,0,30,119,305,455
