District,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Anjaw,0,0,13,69.3,20,65.09,752,2453.9
Changlang,12,84.85,209,742.28,258,1080.04,3089,12281.74
Dibang Valley,1,0.7,6,46.36,46,432.8,620,2865.29
East Kameng,2,3.9,28,136.14,145,698.25,2107,9211.3
East Siang,6,41.33,156,573.41,838,5029.86,8067,44015.32
Kamle,0,0,10,9.22,64,118.18,443,1129.81
Kra Daadi,1,10,16,52.77,73,320.43,1003,3038.45
Kurung Kumey,1,1.08,9,63.82,14,96.45,209,1130.13
Lepa Rada,0,0,8,29.94,197,1020.19,2031,8580.34
Lohit,6,19.63,78,342.55,504,1718.61,4197,14209.24
Longding,0,0,23,136.59,30,147.74,317,1695.72
Lower Dibang Valley,24,39.91,139,398.49,324,1577.62,2249,9325.68
Lower Siang,2,12.67,47,281.07,268,1228.36,1494,7440.32
Lower Subansiri,5,13.33,104,362.84,467,3152.18,4067,21883.17
Namsai,12,31.95,133,520.42,375,3186.67,4109,19023.02
Pakke Kessang,4,2.89,31,98.11,57,172.08,697,1797.04
Papum Pare,55,542.21,719,3559.83,2454,35554.13,29873,218890.46
Shi Yomi,0,0,4,19.93,7,19.4,162,839.04
Siang,0,0,6,21.75,75,302.15,880,3389.98
Tawang,2,16,50,198.73,233,2977.02,2339,12794.45
Tirap,3,23.84,42,162.25,195,602.2,2380,8146.57
Upper Siang,0,0,30,116.43,120,486.91,1367,5141.86
Upper Subansiri,9,35.11,50,238.35,522,2578.57,4003,22453.53
West Kameng,10,33.1,105,418.04,642,5185.88,4843,26503.04
West Siang,2,63.5,54,289.76,447,3011.76,5763,29485.18
