district,Sishu No.,Sishu Amt,Kishore No.,Kishore Amt,Tarun No.,Tarun Amt,Total Mudra No.,Total Mudra Amt
Anjaw,0,0,6,7.66,0,0,6,7.66
Changlang,64,11.96,35,71.37,8,52.08,107,135.41
Dibang Valley,0,0,9,20.55,3,19.57,12,40.12
East Kameng,4,1.67,29,19.61,6,37.62,39,58.9
East Siang,38,8.42,66,139.26,32,228.53,136,376.21
Kamle,0,0,28,23.34,6,33.1,34,56.44
Kra Daadi,6,2.49,42,23.83,9,52.02,57,78.34
Kurung Kumey,9,4.28,42,35.66,5,35.72,56,75.66
Lepa Rada,24,4.07,9,36.3,4,21.91,37,62.28
Lohit,13,54.2,79,158.34,25,166.99,117,379.53
Longding,25,9.8,89,146.84,9,45.79,123,202.43
Lower Dibang Valley,23,3.1,33,88.27,12,92.45,68,183.82
Lower Siang,6,1.48,50,58.4,11,90.5,67,150.38
Lower Subansiri,42,49,61,124,29,204.55,132,377.55
Namsai,26,3.72,28,73.19,13,58.16,67,135.07
Pakke Kessang,2,0.99,31,29.1,1,10,34,40.09
Papum Pare,142,68.96,278,546.91,172,843.29,592,1459.16
Shi Yomi,6,0.6,0,0,0,0,6,0.6
Siang,0,0,12,6.49,0,0,12,6.49
Tawang,82,11.8,65,145.8,32,237.52,179,395.12
Tirap,21,4.26,75,107.58,4,23.4,100,135.24
Upper Siang,0,0,7,8.66,4,20.24,11,28.9
Upper Subansiri,24,7.73,39,64.79,20,142.99,83,215.51
West Kameng,53,24.8,171,380.94,53,385.03,277,790.77
West Siang,20,5.15,49,127.43,18,164.81,87,297.39
