district,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS NPA
Anjaw,0,0,0,0,5,5
Changlang,0,0,0,1,173,174
Dibang Valley,0,0,0,0,76,76
East Kameng,0,0,0,12,133,145
East Siang,0,0,0,41,199,240
Kamle,0,0,0,0,13,13
Kra Daadi,0,0,0,1,49,50
Kurung Kumey,0,0,0,1,100,101
Lepa Rada,0,0,0,0,88,88
Lohit,0,0,0,6,82,88
Longding,0,0,0,1,39,40
Lower Dibang Valley,0,0,0,7,150,157
Lower Siang,0,0,0,1,22,23
Lower Subansiri,0,0,0,32,424,456
Namsai,0,0,0,50,161,211
Pakke Kessang,0,0,0,0,7,7
Papum Pare,0,0,11,265,1318,1594
Shi Yomi,0,0,0,0,27,27
Siang,0,0,0,1,9,10
Tawang,0,0,0,4,65,69
Tirap,0,0,0,4,61,65
Upper Siang,0,0,0,0,37,37
Upper Subansiri,0,0,0,7,149,156
West Kameng,0,0,0,5,80,85
West Siang,0,0,0,18,67,85
