district,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No,Agri Total
Anjaw,45,1,0,2,48
Changlang,261,262,0,0,523
Dibang Valley,18,32,0,0,50
East Kameng,16,1404,0,1,1421
East Siang,143,768,0,2,913
Kamle,17,0,0,0,17
Kra Daadi,24,2,0,4,30
Kurung Kumey,10,46,0,0,56
Lepa Rada,25,500,0,0,525
Lohit,601,786,0,0,1387
Longding,184,40,0,1,225
Lower Dibang Valley,197,153,0,0,350
Lower Siang,9,4,0,0,13
Lower Subansiri,277,1714,0,1,1992
Namsai,294,323,0,442,1059
Pakke Kessang,99,5,0,0,104
Papum Pare,3702,1302,0,203,5207
Shi Yomi,0,0,0,0,0
Siang,2,0,0,1,3
Tawang,5,21,0,0,26
Tirap,121,1189,0,0,1310
Upper Siang,2,12,0,1,15
Upper Subansiri,64,34,0,2,100
West Kameng,92,824,0,0,916
West Siang,259,50,0,2,311
