District,Christians,Muslims,Buddhists,Sikhs,Zoroastrians,Jains,TOTAL Loan To Minority
Anjaw,18,2,16,0,0,0,36
Changlang,904,56,493,14,0,0,1467
Dibang Valley,18,3,7,0,0,0,28
East Kameng,974,80,101,5,0,0,1160
East Siang,473,180,69,29,0,1,752
Kamle,59,2,0,0,0,0,61
Kra Daadi,490,1,5,1,0,0,497
Kurung Kumey,1028,12,9,0,0,0,1049
Lepa Rada,261,21,55,0,0,0,337
Lohit,163,64,163,7,0,0,397
Longding,2507,11,13,1,0,0,2532
Lower Dibang Valley,586,50,64,4,0,0,704
Lower Siang,330,17,15,2,0,0,364
Lower Subansiri,2422,200,155,18,0,0,2795
Namsai,305,68,2212,3,0,0,2588
Pakke Kessang,114,10,11,2,0,0,137
Papum Pare,11408,2106,1779,74,1,5,15373
Shi Yomi,32,0,111,0,0,0,143
Siang,14,1,13,0,0,0,28
Tawang,78,47,2395,32,1,0,2553
Tirap,1718,13,346,2,0,0,2079
Upper Siang,158,10,110,0,0,0,278
Upper Subansiri,377,46,65,1,0,1,490
West Kameng,427,109,4469,39,0,1,5045
West Siang,201,94,307,10,0,1,613
