district,Micro TL,Micro WC,Small TL,Small WC,Medium TL,Medium WC,KVIC TL,KVIC WC,Others under MSMEs Ac,Total MSME Disbursement
Anjaw,0,0,0,0,0,0,0,0,0,0
Changlang,8,0,6,0,0,0,0,0,0,14
Dibang Valley,1,0,0,0,0,0,0,0,0,1
East Kameng,4,10,0,0,0,0,0,0,0,14
East Siang,90,47,10,4,0,0,2,0,1,154
Kamle,4,0,0,0,0,0,0,0,0,4
Kra Daadi,5,0,0,0,0,0,0,0,1,6
Kurung Kumey,14,0,3,3,0,0,0,0,1,21
Lepa Rada,19,1,0,0,0,0,0,0,0,20
Lohit,50,9,5,0,1,0,0,0,0,65
Longding,26,0,2,0,0,0,0,0,0,28
Lower Dibang Valley,41,4,6,0,0,0,1,0,0,52
Lower Siang,27,6,0,0,0,0,0,0,0,33
Lower Subansiri,53,25,2,2,0,0,1,0,0,83
Namsai,58,8,1,0,0,0,0,0,0,67
Pakke Kessang,4,0,0,0,0,0,0,0,0,4
Papum Pare,410,212,104,47,23,23,10,8,24,851
Shi Yomi,1,0,0,0,0,0,0,0,0,1
Siang,1,1,0,0,0,0,0,0,0,2
Tawang,82,21,2,0,0,0,0,0,0,105
Tirap,7,0,2,0,0,0,0,0,0,9
Upper Siang,4,11,0,4,0,0,0,0,0,19
Upper Subansiri,24,18,1,0,0,0,1,0,0,44
West Kameng,179,33,12,0,1,0,1,0,1,227
West Siang,48,15,4,2,0,0,0,0,0,69
