District,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No.,Agri Total
Anjaw,304,3,0,2,309
Changlang,961,466,0,7,1434
Dibang Valley,279,62,0,0,341
East Kameng,229,1967,0,1,2197
East Siang,955,1165,1,37,2158
Kamle,295,41,0,1,337
Kra Daadi,574,72,0,55,701
Kurung Kumey,323,610,0,3,936
Lepa Rada,414,795,0,1,1210
Lohit,1898,848,0,2,2748
Longding,1220,63,0,3,1286
Lower Dibang Valley,718,543,0,9,1270
Lower Siang,386,246,0,0,632
Lower Subansiri,1107,1977,1,15,3100
Namsai,1553,1077,0,149,2779
Pakke Kessang,495,25,0,2,522
Papum Pare,5261,2701,2,209,8173
Shi Yomi,1,83,0,0,84
Siang,144,148,0,1,293
Tawang,513,182,0,2,697
Tirap,1241,1440,0,1,2682
Upper Siang,196,393,0,1,590
Upper Subansiri,818,1031,0,14,1863
West Kameng,1161,923,1,11,2096
West Siang,816,658,4,7,1485
