district,During the Quarter Savings Linked,During the Quarter Credit Linked,Current FY Savings Linked,Current FY Credit Linked,SHG O/S,SHG NPA,SHG NPA Amt. %
Anjaw,102,0,102,0,3,0,0
Changlang,1107,0,1107,3,9,1,1.39
Dibang Valley,25,0,25,0,0,0,0
East Kameng,214,0,190,1,34,4,61.94
East Siang,36,6,43,6,30,0,0
Kamle,64,0,64,0,0,0,0
Kra Daadi,211,1,211,9,17,0,0
Kurung Kumey,113,0,112,0,15,1,7.04
Lepa Rada,86,0,86,0,9,0,0
Lohit,118,4,119,6,44,0,0
Longding,339,0,339,0,1,0,0
Lower Dibang Valley,34,1,34,1,25,0,0
Lower Siang,11,3,11,4,12,0,0
Lower Subansiri,56,2,56,3,100,2,1.51
Namsai,22,0,32,6,213,26,6.06
Pakke Kessang,102,0,102,1,2,0,0
Papum Pare,216,7,239,12,145,20,12.39
Shi Yomi,4,0,4,0,5,1,21.87
Siang,95,1,95,4,35,0,0
Tawang,227,0,227,0,6,0,0
Tirap,710,0,710,0,0,0,0
Upper Siang,46,0,45,0,2,0,0
Upper Subansiri,213,3,213,3,65,0,0
West Kameng,352,4,359,9,39,1,10.98
West Siang,26,2,22,2,20,0,0
