District,NRLM OS,NRLM Irregular,NRLM NPA,NULM OS,NULM NPA,PMEGP OS,PMEGP NPA,SHG OS,SHG NPA,SUI OS,SUI NPA
Anjaw,0,0,0,0,0,3,1,3,0,0,0
Changlang,0,0,0,0,0,12,2,9,1,10,1
Dibang Valley,0,0,0,0,0,0,0,0,0,1,0
East Kameng,0,0,0,1,1,4,2,34,4,5,1
East Siang,25,5,0,5,0,23,16,30,0,11,0
Kamle,0,0,0,0,0,15,11,0,0,0,0
Kra Daadi,69,19,0,0,0,26,16,17,0,2,0
Kurung Kumey,2,0,0,0,0,42,32,15,1,14,2
Lepa Rada,4,0,0,0,0,16,2,9,0,11,0
Lohit,44,1,0,1,0,9,3,44,0,6,0
Longding,0,0,0,0,0,7,2,1,0,4,0
Lower Dibang Valley,17,3,0,1,0,6,2,25,0,6,0
Lower Siang,10,0,0,0,0,11,1,12,0,20,0
Lower Subansiri,78,3,1,1,0,60,27,100,2,12,1
Namsai,43,3,0,0,0,49,9,213,26,44,0
Pakke Kessang,15,3,0,0,0,2,1,2,0,1,0
Papum Pare,172,35,47,4,2,385,116,145,20,62,4
Shi Yomi,0,0,0,0,0,11,9,5,1,11,0
Siang,11,1,0,11,0,15,10,35,0,8,0
Tawang,14,1,0,0,0,21,3,6,0,47,0
Tirap,1,0,0,0,0,10,5,0,0,4,0
Upper Siang,0,0,0,0,0,10,4,2,0,4,0
Upper Subansiri,55,3,0,1,0,37,21,65,0,3,0
West Kameng,5,2,0,2,0,76,10,39,1,69,1
West Siang,24,3,0,0,0,31,14,20,0,10,1
