District,BHIM/UPI,BHIM Aadhaar,Bharat QR Code,IMPS,Cards (Debit & Credit),USSD
Anjaw,7,452499,0,0,3,3407
Changlang,400,5153321,33,91,3054,50390
Dibang Valley,0,214879,0,1,733,3758
East Kameng,4071,2257607,352,858,18811,21337
East Siang,1469333,5827890,1664,43551,49010,65568
Kamle,0,420336,0,0,5,3694
Kra Daadi,6810,518956,0,0,591,8469
Kurung Kumey,4,384408,0,2,5106,5917
Lepa Rada,5491,1258414,0,0,1901,13305
Lohit,77984,2617955,37,4837,4531,28203
Longding,0,1650017,0,0,219,17444
Lower Dibang Valley,381423,2209607,56,19174,18057,26454
Lower Siang,9125,1391333,0,0,1374,17787
Lower Subansiri,457591,3473628,334,5916,27378,42714
Namsai,30911,2429757,1450,1790,8443,45892
Pakke Kessang,0,414600,0,1,97,6139
Papum Pare,5248597,18629808,9361,340723,368385,392988
Shi Yomi,0,196439,0,0,525,4184
Siang,6447,712251,0,8,448,6707
Tawang,396608,1506560,392,8839,23281,32035
Tirap,4,2164019,0,16,1160,38560
Upper Siang,5724,1167299,0,1,3465,11030
Upper Subansiri,42174,2640051,0,510,16121,28133
West Kameng,307906,4685524,606,1236,27336,97250
West Siang,561907,3660124,475,5424,37678,44172
