District,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Anjaw,1402,7398,929,1598,10682,1275,28,3028
Changlang,7944,48299,6374,21690,76256,19132,2721,32355
Dibang Valley,683,3025,620,1005,4127,890,54,1742
East Kameng,2755,27792,1952,5273,37761,3487,746,8774
East Siang,13485,143644,7697,36052,179955,26195,3284,52821
Kamle,676,3392,563,1198,5144,1023,7,1881
Kra Daadi,1291,6346,1049,1564,9346,1335,24,2879
Kurung Kumey,1299,5642,695,1588,8159,966,118,3005
Lepa Rada,1720,12163,1271,2794,16880,2341,300,4814
Lohit,6171,27944,4694,15294,38723,10946,717,22182
Longding,1165,16080,946,4068,26424,3784,218,5451
Lower Dibang Valley,4282,23330,3149,7661,32891,6330,1255,13198
Lower Siang,4670,90384,3151,13867,102690,11455,2308,20845
Lower Subansiri,6034,44428,3773,10912,58534,6694,550,17496
Namsai,11280,34251,9377,23327,47529,20759,5871,40478
Pakke Kessang,207,2460,111,324,3751,176,24,555
Papum Pare,19502,200285,18500,49873,256351,33586,6992,76367
Shi Yomi,296,3341,146,524,4624,488,43,863
Siang,1160,13046,774,2868,17953,2230,214,4242
Tawang,4781,32378,3535,6816,41983,4835,842,12439
Tirap,2495,19004,1736,4712,28651,3338,205,7412
Upper Siang,3936,18975,2815,5781,26062,4400,138,9855
Upper Subansiri,6924,45030,5012,12103,59777,9166,401,19428
West Kameng,8168,52334,5811,14166,70557,10454,1784,24118
West Siang,4214,42938,2637,8072,58551,5469,984,13270
