District,Agriculture NPS,Education NPS,Housing NPS,Personal Loan,Other NPS,Total NPS O/S,Total NPS NPA
Anjaw,329,0,0,0,112,441,5
Changlang,1187,12,0,69,1306,2574,174
Dibang Valley,280,4,0,27,108,419,76
East Kameng,217,3,1,280,700,1201,145
East Siang,588,30,47,1681,4401,6747,240
Kamle,353,3,0,1,41,398,13
Kra Daadi,729,13,0,33,107,882,50
Kurung Kumey,351,0,0,35,358,744,101
Lepa Rada,483,16,4,277,342,1122,88
Lohit,1891,3,11,297,865,3067,88
Longding,1324,1,0,18,361,1704,40
Lower Dibang Valley,678,3,2,399,2619,3701,157
Lower Siang,477,9,3,210,250,949,23
Lower Subansiri,721,8,27,537,1335,2628,456
Namsai,1465,9,9,402,1058,2943,211
Pakke Kessang,534,2,0,5,83,624,7
Papum Pare,1152,21,488,6396,14470,22527,1594
Shi Yomi,20,0,0,16,69,105,27
Siang,221,4,2,76,111,414,10
Tawang,663,7,16,458,1690,2834,69
Tirap,1282,31,0,39,756,2108,65
Upper Siang,299,6,0,96,323,724,37
Upper Subansiri,526,21,2,507,698,1754,156
West Kameng,1141,12,25,636,1654,3468,85
West Siang,920,7,33,681,1029,2670,85
