district,Rural No,Urban No,Male No,Female No,Total PMJDY No.,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Anjaw,1660,0,720,940,1660,50,154.43,1456,380,810
Changlang,46148,693,21097,25733,46830,2812,1718.71,43028,15760,14429
Dibang Valley,462,30,268,224,492,28,239.14,354,33,260
East Kameng,4329,10303,6588,8040,14628,1238,696.74,10560,5551,7023
East Siang,39476,23018,28809,34087,62896,9814,2937.64,48108,15212,21404
Kamle,1406,0,538,868,1406,16,94.87,1252,135,793
Kra Daadi,2967,0,1115,1850,2965,30,218.81,3434,934,1355
Kurung Kumey,2966,920,1811,2072,3883,565,428.67,3339,1282,1334
Lepa Rada,2781,479,1563,1694,3257,211,361.02,2286,1500,877
Lohit,4396,7141,5036,6499,11535,986,506.71,9977,4667,5694
Longding,10732,0,3619,7111,10730,286,462.3,10183,3575,5522
Lower Dibang Valley,3862,10308,6620,7550,14170,1102,671.63,12946,4331,7404
Lower Siang,36427,0,17828,18597,36425,12711,722.6,16459,11821,11736
Lower Subansiri,6296,5608,5303,6594,11897,575,1202.84,10526,4603,4400
Namsai,12546,16471,14279,14735,29014,1274,1312.26,26197,12058,19690
Pakke Kessang,397,0,201,196,397,10,18.71,252,33,199
Papum Pare,29098,6618,19489,22282,41771,4915,2441.15,28673,22988,19796
Shi Yomi,1578,0,743,835,1578,127,269.06,1812,643,518
Siang,4955,0,2652,2301,4953,142,505.88,3673,3064,1877
Tawang,3878,1119,2681,2315,4996,343,715.32,4042,1843,2662
Tirap,15031,0,6226,8799,15025,710,1091.33,14717,5881,6991
Upper Siang,4238,253,2096,2395,4491,235,429.4,2077,918,2998
Upper Subansiri,5135,15504,9802,10824,20626,2178,1565.79,18153,7003,8961
West Kameng,15301,47,7021,8325,15346,854,1346.06,12414,4890,7119
West Siang,4348,10146,8384,8256,16640,1242,1342.88,10645,4276,7039
