district,Housing Loan (PS) O/S,Housing Loan (NPS) O/S,Rural Housing Loan O/S,Housing Loan Eligible under PMAY O/S,Current Year Disbursed under PMAY,PMAY O/S
Anjaw,1,0,6,0,0,0
Changlang,20,16,11,0,0,0
Dibang Valley,4,0,0,0,0,0
East Kameng,27,197,1,0,0,0
East Siang,48,154,27,0,0,0
Kamle,1,1,2,0,0,0
Kra Daadi,0,3,1,0,0,0
Kurung Kumey,15,4,3,0,0,0
Lepa Rada,27,86,54,2,0,2
Lohit,18,18,5,0,0,0
Longding,0,18,9,0,0,0
Lower Dibang Valley,12,8,3,0,0,0
Lower Siang,24,168,99,0,0,0
Lower Subansiri,62,103,32,0,0,0
Namsai,48,20,11,0,0,0
Pakke Kessang,16,5,20,1,0,1
Papum Pare,456,694,350,0,0,4
Shi Yomi,2,2,2,0,0,0
Siang,0,4,3,0,0,0
Tawang,15,26,5,0,0,0
Tirap,17,12,11,0,0,0
Upper Siang,4,2,2,0,0,0
Upper Subansiri,63,184,15,0,0,0
West Kameng,41,88,49,0,0,0
West Siang,49,258,19,3,0,3
