District,Inactive BCs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated SB accounts,RuPay card issued in KCC
Anjaw,0,1085,1085,6444,9
Changlang,1,19357,19109,64496,44
Dibang Valley,1,188,187,4719,33
East Kameng,0,6818,5784,49430,29
East Siang,24,18131,17943,42757,220
Kamle,1,306,306,4354,4
Kra Daadi,0,1555,1555,5095,28
Kurung Kumey,1,1699,1408,22441,55
Lepa Rada,0,1979,1840,13140,47
Lohit,1,6860,6594,28331,206
Longding,2,5694,5694,13938,21
Lower Dibang Valley,29,5529,5419,29931,172
Lower Siang,18,13573,13573,6067,10
Lower Subansiri,5,6549,5844,32465,358
Namsai,4,9049,8063,37969,462
Pakke Kessang,0,259,259,2563,5
Papum Pare,232,30968,25333,143527,2820
Shi Yomi,0,974,939,6399,0
Siang,1,3322,3322,3773,3
Tawang,3,3502,1636,26766,63
Tirap,3,7772,7196,31161,25
Upper Siang,1,1402,1346,22750,61
Upper Subansiri,2,9018,7472,39241,100
West Kameng,6,7541,6264,42950,222
West Siang,119,7044,6048,29167,19
