District,Christians,Muslims,Buddhists,Sikhs,Zoroastrians,Jains,TOTAL Loan To Minority
Anjaw,18,2,16,0,0,0,36
Changlang,885,40,450,1,0,0,1376
Dibang Valley,52,0,7,0,0,0,59
East Kameng,214,22,35,0,0,0,271
East Siang,193,49,39,0,0,0,281
Kamle,59,2,0,0,0,0,61
Kra Daadi,490,1,5,1,0,0,497
Kurung Kumey,1017,1,3,0,0,0,1021
Lepa Rada,58,3,26,0,0,0,87
Lohit,128,41,86,4,0,0,259
Longding,2507,11,13,1,0,0,2532
Lower Dibang Valley,610,15,6,1,0,0,632
Lower Siang,330,17,15,2,0,0,364
Lower Subansiri,1296,43,98,14,0,0,1451
Namsai,190,29,1965,3,0,0,2187
Pakke Kessang,114,10,11,2,0,0,137
Papum Pare,3753,276,337,55,0,4,4425
Shi Yomi,21,0,79,0,0,0,100
Siang,14,1,13,0,0,0,28
Tawang,44,26,1864,13,0,0,1947
Tirap,1375,6,33,2,0,0,1416
Upper Siang,91,4,34,0,0,0,129
Upper Subansiri,178,15,4,1,0,1,199
West Kameng,354,53,3252,27,0,0,3686
West Siang,149,29,272,7,0,0,457
