District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advances,CDR Rural,CDR Semi Urban,CDR Urban,Overall CD Ratio
Anjaw,10573.91,0.0,0.0,10573.91,3511.22,0.0,0.0,3511.22,33.21,,,33.21
Changlang,76783.7,2525.61,0.0,79309.31,23660.29,576.67,0.0,24236.96,30.81,22.83,,30.56
Dibang Valley,23487.46,1725.49,0.0,25212.95,3399.71,266.5,0.0,3666.21,14.47,15.44,,14.54
East Kameng,142.04,27624.15,0.0,27766.19,131.57,18665.97,0.0,18797.54,92.63,67.57,,67.7
East Siang,37196.15,123271.14,0.0,160467.29,10352.99,53617.06,0.0,63970.05,27.83,43.5,,39.86
Kamle,2954.71,0.0,0.0,2954.71,1739.12,0.0,0.0,1739.12,58.86,,,58.86
Kra Daadi,7818.61,0.0,0.0,7818.61,4231.55,0.0,0.0,4231.55,54.12,,,54.12
Kurung Kumey,7363.08,3025.26,0.0,10388.34,5016.75,2120.09,0.0,7136.84,68.13,70.08,,68.7
Lepa Rada,30005.33,1632.05,0.0,31637.38,9721.32,1393.9,0.0,11115.22,32.4,85.41,,35.13
Lohit,8070.03,41191.07,0.0,49261.1,3978.64,18058.34,0.0,22036.98,49.3,43.84,,44.74
Longding,16213.51,0.0,0.0,16213.51,12875.4,0.0,0.0,12875.4,79.41,,,79.41
Lower Dibang Valley,10875.42,60452.62,0.0,71328.04,2277.63,18503.58,0.0,20781.21,20.94,30.61,,29.13
Lower Siang,24066.81,0.0,0.0,24066.81,13510.56,0.0,0.0,13510.56,56.14,,,56.14
Lower Subansiri,15807.76,69009.62,0.0,84817.38,7637.11,28549.36,0.0,36186.47,48.31,41.37,,42.66
Namsai,36338.95,28699.11,0.0,65038.06,14618.9,13203.43,0.0,27822.33,40.23,46.01,,42.78
Pakke Kessang,3544.16,0.0,0.0,3544.16,3169.47,0.0,0.0,3169.47,89.43,,,89.43
Papum Pare,107903.25,1180572.61,0.0,1288475.86,52703.74,391556.42,0.0,444260.16,48.84,33.17,,34.48
Shi Yomi,6684.06,2199.05,0.0,8883.11,1018.89,284.31,0.0,1303.2,15.24,12.93,,14.67
Siang,14045.38,0.0,0.0,14045.38,3868.92,0.0,0.0,3868.92,27.55,,,27.55
Tawang,35323.29,126574.16,0.0,161897.45,6567.03,15999.06,0.0,22566.09,18.59,12.64,,13.94
Tirap,36209.2,2028.6,0.0,38237.8,17549.52,1315.63,0.0,18865.15,48.47,64.85,,49.34
Upper Siang,43095.27,1966.24,0.0,45061.51,7340.16,620.03,0.0,7960.19,17.03,31.53,,17.67
Upper Subansiri,16261.09,33293.6,0.0,49554.69,6829.69,22889.61,0.0,29719.3,42.0,68.75,,59.97
West Kameng,121952.75,440.74,0.0,122393.49,45017.69,3344.5,0.0,48362.19,36.91,758.84,,39.51
West Siang,9386.95,70379.19,0.0,79766.14,2305.98,33526.08,0.0,35832.06,24.57,47.64,,44.92
