district,Sishu,Kishore,Tarun,Total Mudra,MUDRA NPA Amt.%
Anjaw,3,88,4,95,3.08
Changlang,454,561,30,1045,1.4
Dibang Valley,2,126,10,138,0
East Kameng,147,129,63,339,37.06
East Siang,361,765,238,1364,17.56
Kamle,55,189,34,278,11.63
Kra Daadi,321,263,40,624,22.42
Kurung Kumey,83,225,28,336,21.01
Lepa Rada,131,221,20,372,3.14
Lohit,156,479,61,696,4.9
Longding,109,449,22,580,4.7
Lower Dibang Valley,172,350,77,599,3.66
Lower Siang,66,313,22,401,3.62
Lower Subansiri,311,590,180,1081,15.52
Namsai,646,1048,208,1902,23.67
Pakke Kessang,69,354,6,429,4.3
Papum Pare,2637,3628,1163,7428,32.02
Shi Yomi,7,7,11,25,41.31
Siang,41,129,17,187,13.52
Tawang,160,572,153,885,5.33
Tirap,110,529,25,664,1.32
Upper Siang,74,239,22,335,4.94
Upper Subansiri,179,307,99,585,26.29
West Kameng,336,936,266,1538,2.93
West Siang,298,452,107,857,8.15
