District,no_of_branches_rural,branch_semi_urban,branch_urban,branch_metro,total_branch
Anantapur,170.0,137.0,172.0,,479.0
Chittoor,259.0,176.0,184.0,,619.0
East Godavari,296.0,276.0,237.0,,809.0
Guntur,317.0,246.0,292.0,,855.0
Krishna,249.0,276.0,111.0,247.0,883.0
Kurnool,160.0,117.0,205.0,,482.0
Prakasam,198.0,197.0,87.0,,482.0
Spsr Nellore,149.0,152.0,137.0,,438.0
Srikakulam,175.0,98.0,59.0,,332.0
Vizianagaram,126.0,92.0,74.0,,292.0
West Godavari,227.0,262.0,145.0,,634.0
Y.s.r.,137.0,121.0,116.0,,374.0
