District,short_term,agrl_term,farm,agr_infra,ancillary,total_agrl,msme,export,others_under,total_priority
Chittoor,9887.51,3341.35,13228.87,64.54,137.77,13431.18,4161.59,11.53,2391.07,19995.37
East Godavari,12728.81,4741.37,17470.18,236.33,765.21,18471.72,5964.5,89.12,2641.4,27166.74
Guntur,13780.67,5123.48,18904.15,48.93,647.91,19600.99,7969.77,61.66,3508.24,31140.66
Krishna,15985.56,7009.08,22994.64,193.66,556.09,23744.39,8795.87,46.18,7102.18,39688.63
Kurnool,9300.94,2882.41,12183.35,70.06,101.34,12354.75,3153.32,12.82,2133.84,17654.73
Prakasam,11591.27,4280.49,15871.77,47.22,160.71,16079.7,4040.45,89.98,1991.53,22201.66
Spsr Nellore,7162.96,3062.78,10225.74,21.73,356.49,10603.96,3617.29,27.49,2146.25,16395.0
Srikakulam,4252.51,2463.85,6716.36,8.22,36.37,6760.94,1846.48,11.44,1983.46,10602.33
Visakhapatanam,7232.3,3631.2,10863.51,44.33,440.77,11348.61,9104.39,15.41,4451.78,24920.19
Vizianagaram,5028.4,1623.41,6651.8,9.53,25.03,6686.36,1741.92,5.79,2789.58,11223.65
West Godavari,13365.31,4705.44,18070.75,91.41,619.32,18781.48,4689.49,59.64,2770.06,26300.66
Y.s.r.,6034.42,2866.67,8901.09,43.56,1402.8,10347.45,2716.88,7.16,1908.57,14980.07
