District,short_term_crop_production_trgt,agrl_term_loans_including_trgt,total_agriculture_trgt,msme_trgt,export_credit_trgt,education_loans_trgt,housing_loans_trgt,social_infrastructure_trgt_6,renewable_trgt_1,others_under_priority_sector_trgt,total_priority_sector_trgt,non_priority_sector_trgt,total_credit_trgt
Chittoor,9750.0,4057.0,13807.0,3350.0,4.0,82.0,703.0,,8.0,869.0,18026.0,4693.0,22719.0
East Godavari,10385.0,5615.0,16000.0,5400.0,10.0,200.0,940.0,,,1460.0,22860.0,6840.0,29700.0
Guntur,15000.0,4320.0,19320.0,5000.0,250.0,373.0,1464.0,,,2500.0,26820.0,5000.0,31820.0
Krishna,12000.0,4525.0,16525.0,7497.0,,422.0,1891.0,,,3301.0,27324.0,17504.0,44827.0
Kurnool,8287.0,2241.0,10528.0,1940.0,4.0,61.0,247.0,,,968.0,13436.0,3741.0,17177.0
Prakasam,9523.0,2732.0,12256.0,2723.0,69.0,91.0,516.0,,,1601.0,16580.0,2892.0,19471.0
Spsr Nellore,7001.0,2286.0,9287.0,1755.0,20.0,217.0,847.0,,,1556.0,12599.0,3942.0,16541.0
Srikakulam,3904.0,1833.0,5737.0,1134.0,2.0,41.0,596.0,6.0,,679.0,7550.0,1364.0,8914.0
Visakhapatanam,3950.0,1651.0,5601.0,6600.0,700.0,100.0,1511.0,6.0,8.0,3075.0,15276.0,14000.0,29276.0
Vizianagaram,3061.0,1283.0,4344.0,710.0,5.0,50.0,550.0,,,650.0,5704.0,1045.0,6749.0
West Godavari,11300.0,3240.0,14540.0,3350.0,,106.0,600.0,,5.0,1666.0,19556.0,3800.0,23356.0
Y.s.r.,6600.0,2430.0,9030.0,1800.0,,26.0,332.0,,,1140.0,11970.0,2900.0,14870.0
