District,cd_ratio,total_deposit,total_advance
Chittoor,78.9,41810.17,32986.45
East Godavari,126.2,37031.74,46734.16
Guntur,125.28,41723.0,52269.01
Krishna,180.72,63547.94,114845.72
Kurnool,130.09,20153.43,26216.84
Prakasam,158.27,17329.08,27427.26
Spsr Nellore,139.07,18060.96,25116.72
Srikakulam,105.45,12234.64,12901.81
Visakhapatanam,123.27,60448.76,74517.84
Vizianagaram,110.24,10057.07,11087.15
West Godavari,146.67,26143.64,38345.18
Y.s.r.,107.85,18733.33,20203.49
