District,Target,Current Year Self-Help Group,NRLM O/S,NRLM Irregular A/C,NRLM NPA,NRLM NPA Pct
Anjaw,20,0,0,0,0,0
Changlang,0,0,0,0,0,0
Dibang Valley,20,0,0,0,0,0
East Kameng,120,0,0,0,0,0
East Siang,90,8,13,0,0,0
Kamle,40,0,0,0,0,0
Kra Daadi,70,82,84,2,0,0
Kurung Kumey,120,2,2,0,0,0
Lepa Rada,80,0,11,0,1,0.62
Lohit,80,22,28,0,0,0
Longding,0,0,0,0,0,0
Lower Dibang Valley,80,10,11,0,0,0
Lower Siang,80,6,6,0,0,0
Lower Subansiri,80,35,39,0,0,0
Namsai,130,31,43,1,0,0
Pakke Kessang,90,3,18,15,0,0
Papum Pare,140,30,280,107,88,36.34
Shi Yomi,20,0,0,0,0,0
Siang,70,5,7,1,0,0
Tawang,100,9,10,1,0,0
Tirap,0,0,1,1,0,0
Upper Siang,120,0,1,0,0,0
Upper Subansiri,70,20,33,2,0,0
West Kameng,70,1,39,0,0,0
West Siang,70,14,20,1,0,0
