district,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZORASTRIANS,JAINS,TOTAL LOAN TO MINORITY
Anjaw,16,0,12,0,0,0,28
Changlang,879,57,528,6,0,0,1470
Dibang Valley,47,6,13,6,0,0,72
East Kameng,1251,88,114,2,0,0,1455
East Siang,424,171,50,30,0,1,676
Kamle,30,2,0,0,0,0,32
Kra Daadi,180,1,5,1,0,0,187
Kurung Kumey,1096,23,26,0,0,0,1145
Lepa Rada,454,54,108,0,0,0,616
Lohit,173,67,545,4,0,0,789
Longding,1848,10,9,2,0,0,1869
Lower Dibang Valley,704,45,110,1,0,0,860
Lower Siang,323,17,14,1,0,0,355
Lower Subansiri,2714,217,133,15,0,0,3079
Namsai,307,43,1815,3,0,0,2168
Pakke Kessang,96,10,9,1,0,0,116
Papum Pare,13578,2264,1534,75,1,8,17460
Shi Yomi,133,1,173,0,0,0,307
Siang,12,1,11,0,0,0,24
Tawang,81,42,2238,30,1,0,2392
Tirap,1580,17,498,2,0,0,2097
Upper Siang,147,3,59,0,0,0,209
Upper Subansiri,298,47,131,1,0,1,478
West Kameng,875,105,3458,32,1,1,4472
West Siang,120,78,1317,9,0,2,1526
