district,BOB,BOI,CAN,CBI,IND,PNB,SBI,AXIS,HDFC,ICICI,NESFB,APRB,APSCAB,TOTAL
Anjaw,,,,,,,20,,,,,,,20
Changlang,,,,,,10,70,,,,,,10,90
Dibang Valley,,,,,,,10,,,,,,10,20
East Kameng,,,,5,,5,10,,,,,5,5,30
East Siang,5,5,5,5,,5,10,5,5,5,,,,50
Kamle,,,,,,,20,,,,,,,20
Kra Daadi,,,,,,,10,,,,,10,,20
Kurung Kumey,,,,,,,30,,,,,,20,50
Lepa Rada,,,,,,,10,,,,,5,5,20
Lohit,,,,5,,,10,,5,,,5,5,30
Longding,,,,,,,20,,,,,,,20
Lower Dibang Valley,,5,,,,5,10,,3,,,5,2,30
Lower Siang,,,,,,,,,,,,,,0
Lower Subansiri,,,3,2,,5,10,,2,3,,5,,30
Namsai,,5,,,,5,10,3,,5,,,2,30
Pakke Kessang,,,,,,,,,,,,,,0
Papum Pare,5,5,5,5,5,5,70,10,5,5,5,25,10,160
Shi Yomi,,,,,,,,,,,,,,0
Siang,,,,,,,20,,,,,20,,40
Tawang,,,3,3,,,5,,2,2,,,,15
Tirap,,,,,,,40,,,,,,,40
Upper Siang,,,,,,,10,,,,,35,10,55
Upper Subansiri,,,,10,,,20,,,,,15,5,50
West Kameng,,2,12,2,,,15,2,,2,,3,2,40
West Siang,30,,30,,,,100,30,,,,30,20,240
