district,Housing Loan (PS) O/S,Housing Loan (NPS) O/S,Rural Housing Loan O/S,Housing Loan Eligible under PMAY O/S,Current Year Disbursed under PMAY,PMAY O/S
Anjaw,1,0,1,0,0,0
Changlang,15,9,15,0,0,0
Dibang Valley,2,1,0,0,0,0
East Kameng,26,187,0,0,0,0
East Siang,169,161,31,0,0,0
Kamle,1,0,1,0,0,0
Kra Daadi,0,3,3,0,0,0
Kurung Kumey,15,0,0,0,0,0
Lepa Rada,39,74,99,2,0,2
Lohit,22,13,5,0,0,0
Longding,0,12,12,0,0,0
Lower Dibang Valley,8,3,3,0,0,0
Lower Siang,27,116,143,0,0,0
Lower Subansiri,97,74,32,0,0,1
Namsai,26,17,8,0,0,0
Pakke Kessang,17,5,22,1,0,1
Papum Pare,608,1815,555,5,0,5
Shi Yomi,2,2,3,0,0,0
Siang,4,0,4,0,0,0
Tawang,18,24,7,0,0,2
Tirap,12,9,12,0,0,0
Upper Siang,4,0,1,0,0,0
Upper Subansiri,56,180,24,0,0,0
West Kameng,46,74,66,0,0,1
West Siang,74,202,17,3,0,3
