District,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Anjaw,279,899.68,75,318.95
Changlang,1492,5346.91,621,2241.66
Dibang Valley,268,823.14,113,302.14
East Kameng,1045,4486.13,346,1482.71
East Siang,4837,18344.09,1854,9360.33
Kamle,164,362.87,104,137.73
Kra Daadi,449,1178.45,175,668.27
Kurung Kumey,553,1675.38,123,478.91
Lepa Rada,749,3055.51,204,1327.33
Lohit,2105,6581.4,921,3543.65
Longding,570,1903.02,248,871.99
Lower Dibang Valley,1322,4004.17,592,2056.93
Lower Siang,492,2235.69,201,1023.32
Lower Subansiri,2578,10164.07,791,4211.4
Namsai,1993,7347.41,895,3628.48
Pakke Kessang,216,549.98,78,210.94
Papum Pare,24087,102069.88,7999,42002.23
Shi Yomi,97,337.12,29,119.82
Siang,305,1298.11,118,579.11
Tawang,928,4212.75,401,2202.56
Tirap,1933,4165.71,340,1963.15
Upper Siang,534,2094.31,176,945.7
Upper Subansiri,2102,8684.31,540,3859.95
West Kameng,2140,9134.72,1004,4574.91
West Siang,1861,8538.46,603,3777.67
