district,SC Disb No,SC Disb Amt,SC O/S No,SC O/S Amt,ST Disb No,ST Disb Amt,ST O/S No,ST O/S Amt
Anjaw,1,9.5,11,51.02,200,883.54,747,2504.24
Changlang,56,259.4,194,671.67,981,4679.72,3154,11321.88
Dibang Valley,2,15,5,37.18,204,693.16,716,2416.07
East Kameng,9,47.63,31,151.75,463,2802.77,3470,9910.68
East Siang,34,211.54,143,571.51,2452,18296.14,8176,40058.05
Kamle,5,4.21,9,10.81,172,342.05,302,845.15
Kra Daadi,1,7.86,15,51.13,375,1308.77,946,2941.98
Kurung Kumey,3,29.9,7,57.91,61,332.85,840,2577.62
Lepa Rada,3,25.88,9,33.29,503,3195.76,2502,9077.04
Lohit,33,168.86,75,312.99,1440,7041.11,4709,13972.65
Longding,10,84.17,22,146.06,98,666.69,273,1585.01
Lower Dibang Valley,52,202.22,145,393.32,636,3102.83,2071,7462.85
Lower Siang,15,127.42,43,258.39,490,2903.51,1117,5814.15
Lower Subansiri,21,95.48,99,341.42,1107,7730.35,6161,21608.72
Namsai,47,198.41,103,424.39,1141,5742.83,3354,13855.14
Pakke Kessang,2,4,22,69.19,206,650.42,517,1414.96
Papum Pare,188,1286.77,634,2996.65,7402,76923.44,32551,221902.04
Shi Yomi,0,0,4,22.49,32,245.04,290,1027.52
Siang,2,3.5,9,28.68,302,1481.18,783,3313.5
Tawang,11,77.68,48,198.62,621,4514.3,2272,10907.57
Tirap,11,57.35,35,144.43,494,2740.74,3106,8149.62
Upper Siang,4,29.1,32,149.03,382,1697.23,1513,5210.95
Upper Subansiri,21,107.68,56,234.77,1165,8614.81,4948,22225.09
West Kameng,35,179.07,113,451.67,1596,11590.2,5264,23349.92
West Siang,13,106.87,51,296.21,1415,10250.46,5531,28396.32
