District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advances,Cdr Rural,Cdr Semi-Urban,Overall CD Ratio
Anjaw,12576.41,0.0,0.0,12576.41,3531.87,0.0,0.0,3531.87,28.08,,28.08
Changlang,86492.22,2894.25,0.0,89386.47,21139.8,499.77,0.0,21639.57,24.44,17.27,24.21
Dibang Valley,25844.22,1664.28,0.0,27508.5,2647.84,242.14,0.0,2889.98,10.25,14.55,10.51
East Kameng,0.0,35501.67,0.0,35501.67,0.0,17606.87,0.0,17606.87,,49.59,49.59
East Siang,36030.66,133163.13,0.0,169193.79,9565.26,48959.84,0.0,58525.1,26.55,36.77,34.59
Kamle,4557.61,0.0,0.0,4557.61,1360.5,0.0,0.0,1360.5,29.85,,29.85
Kra Daadi,10370.63,0.0,0.0,10370.63,3744.19,0.0,0.0,3744.19,36.1,,36.1
Kurung Kumey,12060.04,3461.18,0.0,15521.22,4567.6,1518.71,0.0,6086.31,37.87,43.88,39.21
Lepa Rada,29574.47,1513.26,0.0,31087.73,8655.48,1359.0,0.0,10014.48,29.27,89.81,32.21
Lohit,10911.29,45132.61,0.0,56043.9,4331.68,16043.21,0.0,20374.89,39.7,35.55,36.36
Longding,21603.52,0.0,0.0,21603.52,11440.07,0.0,0.0,11440.07,52.95,,52.95
Lower Dibang Valley,2774.85,71848.64,0.0,74623.49,327.55,14599.23,0.0,14926.78,11.8,20.32,20.0
Lower Siang,29376.37,0.0,0.0,29376.37,11625.59,0.0,0.0,11625.59,39.57,,39.57
Lower Subansiri,17161.42,69716.45,0.0,86877.87,6871.38,25307.33,0.0,32178.71,40.04,36.3,37.04
Namsai,41170.37,28184.4,0.0,69354.77,11233.22,11623.73,0.0,22856.95,27.28,41.24,32.96
Pakke Kessang,4184.8,0.0,0.0,4184.8,2632.59,0.0,0.0,2632.59,62.91,,62.91
Papum Pare,120037.49,1290123.63,0.0,1410161.12,51613.64,360566.62,0.0,412180.26,43.0,27.95,29.23
Shi Yomi,9504.12,2694.31,0.0,12198.43,1021.25,226.97,0.0,1248.22,10.75,8.42,10.23
Siang,20080.85,0.0,0.0,20080.85,3681.74,0.0,0.0,3681.74,18.33,,18.33
Tawang,36318.97,154299.13,0.0,190618.1,5278.66,13355.07,0.0,18633.73,14.53,8.66,9.78
Tirap,42258.37,2452.49,0.0,44710.86,15996.19,1214.43,0.0,17210.62,37.85,49.52,38.49
Upper Siang,41587.1,2389.05,0.0,43976.15,6653.15,643.67,0.0,7296.82,16.0,26.94,16.59
Upper Subansiri,19157.02,43501.19,0.0,62658.21,6005.12,21659.78,0.0,27664.9,31.35,49.79,44.15
West Kameng,132980.71,386.29,0.0,133367.0,39384.44,2073.69,0.0,41458.13,29.62,536.82,31.09
West Siang,8951.44,84079.01,0.0,93030.45,1938.06,30660.85,0.0,32598.91,21.65,36.47,35.04
