district,Inactive BCs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated SB accounts,RuPay card issued in KCC
Anjaw,0,2314,2314,5853,12
Changlang,2,34240,32779,60012,47
Dibang Valley,1,348,317,4897,34
East Kameng,0,11165,10230,43507,20
East Siang,19,34552,31265,40765,230
Kamle,1,590,590,2962,4
Kra Daadi,2,2372,2372,3442,28
Kurung Kumey,0,2595,1667,25574,54
Lepa Rada,2,2498,2017,12787,51
Lohit,1,8969,8479,25789,217
Longding,1,9309,9309,10236,21
Lower Dibang Valley,30,5902,5884,28688,160
Lower Siang,16,14792,14792,5135,10
Lower Subansiri,6,8517,7583,28062,374
Namsai,6,13431,11923,36875,437
Pakke Kessang,0,355,355,2234,6
Papum Pare,205,39077,29958,133261,1706
Shi Yomi,1,1602,1314,6708,1
Siang,3,3576,3576,2993,3
Tawang,3,4692,2396,24344,48
Tirap,2,11023,9733,25587,47
Upper Siang,1,2258,2016,25233,10
Upper Subansiri,0,14884,11285,38001,123
West Kameng,7,10214,8720,39808,216
West Siang,3,9425,6511,28628,77
