District,Branch Rural,Branch Semi-Urban,Branch Urban,Total Branch,ATM Rural,ATM Semi-Urban,ATM Urban,Total ATM,"Out Of Total CSP, Fixed Point CSP","Out Of Total CSP,Other CSP",Total CSP
Anjaw,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,6.0,0.0,6.0
Changlang,7.0,4.0,0.0,11.0,11.0,2.0,0.0,13.0,58.0,12.0,70.0
Dibang Valley,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
East Kameng,0.0,7.0,0.0,7.0,0.0,10.0,0.0,10.0,17.0,10.0,27.0
East Siang,7.0,11.0,0.0,18.0,1.0,16.0,0.0,17.0,63.0,24.0,87.0
Kamle,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
Kra Daadi,2.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,11.0,2.0,13.0
Kurung Kumey,1.0,3.0,0.0,4.0,1.0,1.0,0.0,2.0,1.0,3.0,4.0
Lepa Rada,2.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,4.0,1.0,5.0
Lohit,3.0,5.0,0.0,8.0,1.0,14.0,0.0,15.0,10.0,1.0,10.0
Longding,3.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,6.0,1.0,7.0
Lower Dibang Valley,2.0,6.0,0.0,8.0,0.0,9.0,0.0,9.0,51.0,7.0,58.0
Lower Siang,4.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,12.0,17.0,29.0
Lower Subansiri,5.0,9.0,0.0,14.0,2.0,11.0,0.0,13.0,38.0,7.0,45.0
Namsai,5.0,6.0,0.0,11.0,2.0,4.0,0.0,6.0,29.0,10.0,39.0
Pakke Kessang,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0
Papum Pare,17.0,52.0,0.0,69.0,11.0,114.0,0.0,125.0,85.0,570.0,655.0
Shi Yomi,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,4.0
Siang,4.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,14.0,0.0,14.0
Tawang,4.0,7.0,0.0,11.0,3.0,13.0,0.0,16.0,18.0,0.0,18.0
Tirap,3.0,2.0,0.0,5.0,4.0,0.0,0.0,4.0,13.0,0.0,13.0
Upper Siang,4.0,3.0,0.0,7.0,3.0,0.0,0.0,3.0,18.0,1.0,19.0
Upper Subansiri,6.0,2.0,0.0,8.0,1.0,5.0,0.0,6.0,37.0,2.0,39.0
West Kameng,15.0,1.0,0.0,16.0,29.0,1.0,0.0,30.0,33.0,1.0,34.0
West Siang,3.0,6.0,0.0,9.0,0.0,12.0,0.0,12.0,31.0,9.0,40.0
