District,Crop Loan,Forestry and Wasteland Dev.,Water Resource,Farm Mechanization,Plantation & Horticulture,Animal Husbandry,Fishery,Farm Credit Others,Agri. Infrastructure,Ancillary Activities,Total Agri Disbursement
Anjaw,67,0,0,0,0,0,0,3,0,0,70
Changlang,274,0,0,0,0,0,0,17,0,5,296
Dibang Valley,126,0,0,0,0,0,0,2,0,0,128
East Kameng,107,0,0,25,3,0,0,8,0,0,143
East Siang,582,7,2,0,18,27,1,118,0,7,762
Kamle,158,0,0,0,0,0,0,31,0,0,189
Kra Daadi,109,0,0,0,0,0,0,20,0,78,207
Kurung Kumey,45,0,0,0,5,0,0,37,0,3,90
Lepa Rada,81,0,0,0,0,1,0,21,0,1,104
Lohit,715,0,0,1,4,3,0,26,0,10,759
Longding,328,0,0,0,0,0,0,22,0,1,351
Lower Dibang Valley,350,0,0,0,8,1,0,31,0,2,392
Lower Siang,194,0,0,0,28,0,0,59,0,0,281
Lower Subansiri,367,0,0,0,18,0,13,80,0,8,486
Namsai,620,0,0,0,0,0,0,98,0,16,734
Pakke Kessang,146,0,0,0,0,0,0,4,0,0,150
Papum Pare,847,7,10,6,75,42,4,418,1,45,1455
Shi Yomi,6,0,0,0,1,0,0,0,0,0,7
Siang,51,0,0,0,31,0,0,30,0,0,112
Tawang,116,0,0,0,2,0,0,70,0,0,188
Tirap,105,0,0,0,0,0,0,2,0,0,107
Upper Siang,53,0,0,0,16,0,0,19,0,0,88
Upper Subansiri,182,0,0,0,18,9,0,5,0,11,225
West Kameng,539,0,0,1,0,2,0,129,0,9,680
West Siang,105,6,0,0,10,23,2,55,0,4,205
