District,Christians,Muslims,Buddhists,Sikhs,Zorastrians,Jains,TOTAL Loan To Minority
Anjaw,16,0,12,0,0,0,28
Changlang,850,83,498,0,0,0,1431
Dibang Valley,48,6,12,6,0,0,72
East Kameng,205,24,39,1,0,0,269
East Siang,389,86,60,3,0,0,538
Kamle,30,2,0,0,0,0,32
Kra Daadi,180,1,5,1,0,0,187
Kurung Kumey,1097,21,26,0,0,0,1144
Lepa Rada,408,50,101,0,0,0,559
Lohit,166,65,542,4,0,0,777
Longding,1848,10,9,2,0,0,1869
Lower Dibang Valley,696,44,109,1,0,0,850
Lower Siang,323,17,14,1,0,0,355
Lower Subansiri,2639,110,127,13,0,0,2889
Namsai,248,43,1807,3,0,0,2101
Pakke Kessang,96,10,9,1,0,0,116
Papum Pare,6435,483,1240,61,0,5,8224
Shi Yomi,126,1,173,0,0,0,300
Siang,12,1,11,0,0,0,24
Tawang,58,29,1940,21,0,0,2048
Tirap,1580,16,498,2,0,0,2096
Upper Siang,146,3,59,0,0,0,208
Upper Subansiri,290,31,131,1,0,1,454
West Kameng,819,61,2996,23,1,0,3900
West Siang,103,23,1308,7,0,0,1441
