District,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Anjaw,13631,5271,4520
Changlang,127550,50553,62081
Dibang Valley,7901,4583,5117
East Kameng,70704,37933,36727
East Siang,213181,96272,41063
Kamle,6953,2542,2424
Kra Daadi,10828,3817,3156
Kurung Kumey,30801,24677,23107
Lepa Rada,26650,16343,10979
Lohit,54842,23297,20915
Longding,33726,9179,12124
Lower Dibang Valley,60066,34541,25514
Lower Siang,106930,30648,5880
Lower Subansiri,78641,37681,25027
Namsai,86043,55773,43066
Pakke Kessang,4563,1818,1335
Papum Pare,423054,206775,163942
Shi Yomi,9997,6273,5853
Siang,20677,10794,3594
Tawang,56290,18955,19848
Tirap,56383,23489,22138
Upper Siang,45769,32978,22179
Upper Subansiri,93098,56620,35929
West Kameng,85042,34611,29686
West Siang,86916,46847,25136
