District,Farm Credit Crop,Farm Credit Term Loan,Agri Infra,Ancillary No,Agri Total
Anjaw,47,1,0,1,49
Changlang,263,372,0,0,635
Dibang Valley,5,14,0,0,19
East Kameng,7,1406,0,2,1415
East Siang,127,672,0,2,801
Kamle,13,0,0,0,13
Kra Daadi,14,0,0,1,15
Kurung Kumey,5,30,0,0,35
Lepa Rada,31,480,0,0,511
Lohit,665,326,0,0,991
Longding,84,41,0,1,126
Lower Dibang Valley,160,136,0,0,296
Lower Siang,6,2,0,0,8
Lower Subansiri,146,744,0,2,892
Namsai,296,208,0,492,996
Pakke Kessang,102,2,0,0,104
Papum Pare,2968,1486,6,216,4676
Shi Yomi,0,0,0,0,0
Siang,3,0,0,1,4
Tawang,8,14,0,1,23
Tirap,100,1202,0,0,1302
Upper Siang,0,60,0,1,61
Upper Subansiri,59,689,0,3,751
West Kameng,57,622,0,0,679
West Siang,275,171,0,1,447
