District,Micro,Small,Medium,Other Msme,Msme Total
Anjaw,27,4,0,0,31
Changlang,537,17,0,0,554
Dibang Valley,14,6,0,0,20
East Kameng,305,22,0,3,330
East Siang,2007,83,5,189,2284
Kamle,0,0,0,0,0
Kra Daadi,311,11,0,1,323
Kurung Kumey,108,21,0,4,133
Lepa Rada,56,6,0,23,85
Lohit,305,17,1,21,344
Longding,70,7,0,0,77
Lower Dibang Valley,162,20,0,12,194
Lower Siang,67,34,0,61,162
Lower Subansiri,661,67,1,150,879
Namsai,281,97,0,24,402
Pakke Kessang,71,2,0,0,73
Papum Pare,10627,1232,52,993,12904
Shi Yomi,0,0,0,0,0
Siang,29,13,0,13,55
Tawang,396,87,0,4,487
Tirap,149,13,0,0,162
Upper Siang,62,13,0,54,129
Upper Subansiri,300,36,0,160,496
West Kameng,1012,128,1,38,1179
West Siang,535,40,0,61,636
