District,Micro TL,Micro WC,Small TL,Small WC,Medium TL,Medium WC,KVIC TL,KVIC WC,Others under MSMEs A/C,Total MSME Disbursement
Anjaw,10,0,2,0,0,0,0,0,0,12
Changlang,91,0,4,0,0,0,0,0,1,96
Dibang Valley,1,0,1,0,0,0,0,0,0,2
East Kameng,127,8,0,0,0,0,0,0,1,136
East Siang,774,28,10,1,0,0,24,0,89,926
Kamle,14,0,0,0,0,0,0,0,2,16
Kra Daadi,36,0,0,0,0,0,0,0,2,38
Kurung Kumey,23,0,0,0,0,0,0,0,10,31
Lepa Rada,9,0,1,0,0,0,0,0,7,17
Lohit,83,25,2,0,0,0,0,0,16,126
Longding,15,0,6,0,0,0,0,0,0,21
Lower Dibang Valley,34,10,1,0,0,0,0,0,7,52
Lower Siang,32,0,1,0,0,0,0,0,26,59
Lower Subansiri,225,25,3,1,0,0,3,0,44,301
Namsai,30,14,3,0,0,0,3,1,15,66
Pakke Kessang,22,0,1,0,0,0,0,0,1,24
Papum Pare,3152,229,143,31,27,0,84,8,633,4307
Shi Yomi,0,0,0,0,0,0,0,0,4,4
Siang,10,0,0,0,0,0,0,0,4,14
Tawang,136,12,5,2,0,0,1,0,8,164
Tirap,9,0,3,0,0,0,0,0,0,12
Upper Siang,4,0,0,0,0,0,0,0,42,46
Upper Subansiri,72,25,2,0,0,0,0,0,48,147
West Kameng,352,28,14,0,0,0,7,0,15,416
West Siang,51,0,7,1,0,1,28,0,16,104
