District,NRLM Os,NRLM Irregular,NRLM NPA,NULM Os,NULM NPA,PMEGP Os,PMEGP NPA,SHG Os,SHG NPA,SUI Os,SUI NPA
Anjaw,0,0,0,0,0,3,1,5,0,0,0
Changlang,0,0,0,0,0,15,5,26,13,10,1
Dibang Valley,0,0,0,0,0,0,0,0,0,1,0
East Kameng,0,0,0,2,1,8,5,37,0,5,0
East Siang,13,0,0,5,0,25,13,32,3,11,0
Kamle,0,0,0,0,0,17,10,0,0,0,0
Kra Daadi,84,2,0,0,0,28,15,101,0,2,0
Kurung Kumey,2,0,0,0,0,46,33,18,0,5,1
Lepa Rada,11,0,1,0,0,17,5,24,2,2,0
Lohit,28,0,0,1,0,8,1,35,1,4,0
Longding,0,0,0,0,0,7,1,35,35,4,0
Lower Dibang Valley,11,0,0,9,0,7,1,44,0,1,0
Lower Siang,6,0,0,3,0,11,0,13,0,10,0
Lower Subansiri,39,0,0,3,0,68,37,147,3,9,1
Namsai,43,1,0,0,0,48,9,117,29,41,0
Pakke Kessang,18,15,0,0,0,2,0,19,2,0,0
Papum Pare,280,107,88,36,2,428,147,267,19,86,20
Shi Yomi,0,0,0,0,0,13,10,17,0,7,0
Siang,7,1,0,16,0,16,8,49,0,7,0
Tawang,10,1,0,0,0,23,2,31,2,37,1
Tirap,1,1,0,0,0,11,5,3,0,4,0
Upper Siang,1,0,0,0,0,11,3,74,0,6,0
Upper Subansiri,33,2,0,2,0,38,26,79,5,2,1
West Kameng,39,0,0,3,0,79,9,55,5,43,0
West Siang,20,1,0,0,0,32,10,46,5,5,0
