District,Sishu No.,Sishu Amt,Kishore No.,Kishore Amt,Tarun No.,Tarun Amt,Total Mudra No.,Total Mudra Amt
Anjaw,5,0.5,62,107.8,9,66.09,76,174.39
Changlang,356,54.54,236,383.87,19,129.39,611,567.8
Dibang Valley,15,0,96,186.05,0,0,111,186.05
East Kameng,23,3.92,51,67.89,9,46.86,83,118.67
East Siang,83,11.49,183,391.98,66,542.64,332,946.11
Kamle,31,3.1,108,152.92,4,20.5,143,176.52
Kra Daadi,201,65.3,77,113.51,8,50.01,286,228.82
Kurung Kumey,12,1.1,64,80.48,0,0,76,81.58
Lepa Rada,22,4.19,51,60.44,7,51,80,115.63
Lohit,90,19.4,165,324.94,26,204.01,281,548.35
Longding,14,3.17,127,171.54,9,68.28,150,242.99
Lower Dibang Valley,110,18.49,162,333.9,15,119.87,287,472.26
Lower Siang,3,0.36,99,171.62,14,103.81,116,275.79
Lower Subansiri,149,19.66,266,642.62,52,388.03,467,1050.31
Namsai,50,49.64,184,322.12,19,134.92,253,506.68
Pakke Kessang,41,3.74,196,292.62,3,19.19,240,315.55
Papum Pare,362,167.54,451,1158.04,254,1933.97,1067,3259.55
Shi Yomi,0,0,0,0,1,2.5,1,2.5
Siang,0,0,47,53.18,3,21.45,50,74.63
Tawang,179,54.86,340,544.38,32,242.18,551,841.42
Tirap,110,15.69,103,161.3,7,50.7,220,227.69
Upper Siang,42,5.33,90,156.9,2,10.3,134,172.53
Upper Subansiri,24,2.04,84,177.02,44,305.66,152,484.72
West Kameng,277,72.04,497,1055.52,76,616.11,850,1743.67
West Siang,78,10.43,89,214.02,31,282.93,198,507.38
